Element_Symbol,Z,A,N,N-Z,BE_A,BE_A_err,MassExcess,MassExcessErr,AtomicMass,AtomicMassErr,BetaDecayE,BetaDecayE_err
Au,79,125,204,46,7870.0,1.0,-20650.0,200.0,203977831.0,215.0,4040.0,200.0
Hg,80,124,204,44,7885.545,0.002,-24690.145,0.498,203973494.037,0.534,-344.0,1.186
Tl,81,123,204,42,7880.023,0.006,-24346.145,1.152,203973863.337,1.236,763.748,0.177
Pb,82,122,204,40,7879.932,0.006,-25109.892,1.146,203973043.42,1.23,-4463.996,9.248
Bi,83,121,204,38,7854.215,0.045,-20645.896,9.18,203977835.717,9.854,-2304.652,14.335
Po,84,120,204,36,7839.083,0.054,-18341.244,11.013,203980309.863,11.822,-6465.811,24.86
At,85,119,204,34,7803.552,0.109,-11875.433,22.288,203987251.197,23.926,-3905.24,23.498
Rn,86,118,204,32,7780.574,0.036,-7970.193,7.444,203991443.644,7.991,-8577.503,25.684
Fr,87,117,204,30,7734.692,0.12,607.31,24.581,204000651.974,26.389,-5449.477,28.94
Ra,88,116,204,28,7704.144,0.075,6056.787,15.273,204006502.228,16.396,,
Ir,77,128,205,51,7807.0,2.0,-5960.0,503.0,204993602.0,540.0,7007.0,585.0
Pt,78,127,205,49,7837.0,1.0,-12966.0,298.0,204986080.0,320.0,5803.0,357.0
Au,79,126,205,47,7861.0,1.0,-18770.0,196.0,204979850.0,210.0,3518.0,196.0
Hg,80,125,205,45,7874.732,0.018,-22287.74,3.654,204976073.125,3.923,1533.135,3.724
Tl,81,124,205,43,7878.394,0.006,-23820.874,1.237,204974427.237,1.328,-50.636,0.503
Pb,82,123,205,41,7874.331,0.006,-23770.239,1.144,204974481.597,1.228,-2705.734,5.107
Bi,83,122,205,39,7857.316,0.025,-21064.504,5.111,204977386.323,5.487,-3543.106,11.28
Po,84,121,205,37,7836.216,0.049,-17521.398,10.059,204981190.004,10.798,-4549.452,18.13
At,85,120,205,35,7810.207,0.074,-12971.946,15.085,204986074.041,16.194,-5262.161,15.913
Rn,86,119,205,33,7780.722,0.025,-7709.786,5.08,204991723.204,5.453,-6399.973,9.329
Fr,87,118,205,31,7745.686,0.038,-1309.813,7.824,204998593.858,8.399,-7148.804,70.954
Ra,88,117,205,29,7706.998,0.344,5838.991,70.521,205006268.415,75.707,-8267.702,86.923
Ac,89,116,205,27,7662.851,0.248,14106.693,50.818,205015144.158,54.555,,
Pt,78,128,206,50,7822.0,1.0,-9632.0,298.0,205989660.0,320.0,4583.0,422.0
Au,79,127,206,48,7840.0,1.0,-14215.0,298.0,205984740.0,320.0,6731.0,299.0
Hg,80,126,206,46,7869.172,0.099,-20945.801,20.44,205977513.756,21.943,1307.566,20.41
Tl,81,125,206,44,7871.721,0.006,-22253.367,1.284,205976110.026,1.378,1532.217,0.612
Pb,82,124,206,42,7875.362,0.006,-23785.584,1.144,205974465.124,1.227,-3757.306,7.546
Bi,83,123,206,40,7853.324,0.037,-20028.278,7.632,205978498.757,8.193,-1839.604,8.6
Po,84,122,206,38,7840.597,0.019,-18188.674,4.012,205980473.654,4.306,-5758.956,15.58
At,85,121,206,36,7808.843,0.073,-12429.718,15.056,205986656.148,16.162,-3296.753,17.33
Rn,86,120,206,34,7789.041,0.042,-9132.965,8.591,205990195.358,9.223,-7890.549,29.475
Fr,87,119,206,32,7746.94,0.137,-1242.416,28.195,205998666.211,30.268,-4807.955,33.455
Ra,88,118,206,30,7719.802,0.087,3565.539,18.008,206003827.763,19.332,-9913.913,53.608
Ac,89,117,206,28,7667.879,0.245,13479.452,50.493,206014470.787,54.206,,
Pt,78,129,207,51,7798.0,2.0,-4540.0,401.0,206995126.0,430.0,6270.0,500.0
Au,79,128,207,49,7825.0,1.0,-10810.0,300.0,206988395.0,322.0,5677.0,301.0
Hg,80,127,207,47,7848.61,0.144,-16487.444,29.808,206982300.0,32.0,4547.008,30.3
Tl,81,126,207,45,7866.797,0.026,-21034.451,5.439,206977418.586,5.839,1417.595,5.402
Pb,82,125,207,43,7869.866,0.006,-22452.047,1.147,206975896.735,1.23,-2397.42,2.118
Bi,83,124,207,41,7854.505,0.012,-20054.627,2.397,206978470.471,2.573,-2908.852,6.614
Po,84,123,207,39,7836.673,0.032,-17145.775,6.659,206981593.252,7.148,-3918.358,14.075
At,85,122,207,37,7813.964,0.06,-13227.416,12.406,206985799.783,13.318,-4592.654,15.037
Rn,86,121,207,35,7787.998,0.041,-8634.762,8.497,206990730.2,9.121,-5790.421,19.458
Fr,87,120,207,33,7756.246,0.085,-2844.341,17.505,206996946.474,18.792,-6388.826,56.008
Ra,88,119,207,31,7721.602,0.257,3544.485,53.202,207003805.161,57.115,-7601.748,73.276
Ac,89,118,207,29,7681.099,0.243,11146.233,50.387,207011965.973,54.092,,
Pt,78,130,208,52,7783.0,2.0,-990.0,400.0,207998937.0,429.0,5111.0,499.0
Au,79,129,208,50,7804.0,1.0,-6101.0,298.0,207993450.0,320.0,7164.0,300.0
Hg,80,128,208,48,7834.191,0.148,-13265.406,30.739,207985759.0,33.0,3484.726,30.795
Tl,81,127,208,46,7847.183,0.009,-16750.132,1.854,207982017.992,1.99,4998.466,1.669
Pb,82,126,208,44,7867.453,0.006,-21748.598,1.148,207976651.918,1.231,-2878.375,2.013
Bi,83,125,208,42,7849.853,0.011,-18870.223,2.304,207979741.981,2.473,-1400.628,2.397
Po,84,124,208,40,7839.358,0.008,-17469.596,1.737,207981245.616,1.864,-4999.725,9.086
At,85,123,208,38,7811.56,0.043,-12469.871,8.921,207986613.042,9.577,-2814.279,14.269
Rn,86,122,208,36,7794.268,0.054,-9655.591,11.138,207989634.295,11.957,-6989.672,16.251
Fr,87,121,208,34,7756.903,0.057,-2665.919,11.834,207997138.018,12.704,-4393.774,14.881
Ra,88,120,208,32,7732.017,0.043,1727.856,9.023,208001854.929,9.686,-9025.38,56.442
Ac,89,119,208,30,7684.865,0.268,10753.235,55.716,208011544.073,59.813,-5930.495,65.37
Th,90,118,208,28,7652.592,0.164,16683.73,34.19,208017910.722,36.704,,
Au,79,130,209,51,7788.0,2.0,-2540.0,400.0,208997273.0,429.0,6104.0,426.0
Hg,80,129,209,49,7813.0,1.0,-8644.0,149.0,208990720.0,160.0,5000.0,149.0
Tl,81,128,209,47,7833.397,0.029,-13644.757,6.11,208985351.75,6.559,3969.889,6.211
Pb,82,127,209,45,7848.648,0.008,-17614.646,1.747,208981089.898,1.875,644.016,1.146
Bi,83,126,209,43,7847.987,0.007,-18258.662,1.364,208980398.519,1.464,-1892.57,1.564
Po,84,125,209,41,7835.188,0.009,-16366.092,1.778,208982430.276,1.908,-3483.478,5.287
At,85,124,209,39,7814.777,0.024,-12882.613,5.102,208986169.944,5.477,-3941.564,11.188
Rn,86,123,209,37,7792.175,0.048,-8941.049,9.96,208990401.388,10.692,-5171.477,17.713
Fr,87,122,209,35,7763.688,0.07,-3769.572,14.648,208995953.197,15.725,-5627.791,15.73
Ra,88,121,209,33,7733.017,0.027,1858.219,5.747,209001994.879,6.169,-6985.59,50.934
Ac,89,120,209,31,7695.85,0.242,8843.809,50.608,209009494.22,54.33,-7523.0,148.0
Th,90,119,209,29,7656.0,1.0,16367.0,140.0,209017571.0,150.0,,
Au,79,131,210,52,7766.0,2.0,2329.0,401.0,210002500.0,430.0,7694.0,446.0
Hg,80,130,210,50,7799.0,1.0,-5365.0,196.0,209994240.0,210.0,3882.0,196.0
Tl,81,129,210,48,7813.588,0.055,-9246.969,11.604,209990072.97,12.456,5481.534,11.561
Pb,82,128,210,46,7835.965,0.007,-14728.502,1.447,209984188.301,1.553,63.476,0.499
Bi,83,127,210,44,7832.542,0.006,-14791.979,1.363,209984120.156,1.462,1161.159,0.766
Po,84,126,210,42,7834.346,0.005,-15953.137,1.146,209982873.601,1.23,-3980.96,7.61
At,85,125,210,40,7811.663,0.037,-11972.177,7.695,209987147.338,8.261,-2367.407,8.922
Rn,86,124,210,38,7796.665,0.022,-9604.77,4.557,209989688.854,4.892,-6271.565,15.824
Fr,87,123,210,36,7763.075,0.072,-3333.205,15.154,209996421.657,16.268,-3775.997,17.72
Ra,88,122,210,34,7741.368,0.044,442.792,9.193,210000475.356,9.868,-8346.908,58.133
Ac,89,121,210,32,7697.896,0.273,8789.699,57.402,210009436.13,61.623,-5269.747,60.436
Th,90,120,210,30,7669.076,0.09,14059.446,18.909,210015093.437,20.299,,
Hg,80,131,211,51,7778.0,1.0,-624.0,196.0,210999330.0,210.0,5454.0,200.0
Tl,81,130,211,49,7799.791,0.199,-6077.998,41.917,210993475.0,45.0,4414.95,41.978
Pb,82,129,211,47,7817.007,0.011,-10492.948,2.261,210988735.356,2.426,1366.183,5.471
Bi,83,128,211,45,7819.774,0.026,-11859.131,5.442,210987268.698,5.842,573.439,5.43
Po,84,127,211,43,7818.784,0.006,-12432.571,1.255,210986653.085,1.347,-785.307,2.539
At,85,126,211,41,7811.354,0.013,-11647.264,2.729,210987496.147,2.929,-2891.86,6.894
Rn,86,125,211,39,7793.941,0.032,-8755.404,6.813,210990600.686,7.314,-4615.155,13.786
Fr,87,124,211,37,7768.36,0.057,-4140.249,11.991,210995555.259,12.872,-4972.272,14.369
Ra,88,123,211,35,7741.087,0.038,832.023,7.918,211000893.213,8.5,-6370.191,53.564
Ac,89,122,211,33,7707.189,0.251,7202.214,52.976,211007731.894,56.871,-6707.958,90.205
Th,90,121,211,31,7671.69,0.346,13910.171,73.01,211014933.183,78.379,-8170.0,126.0
Pa,91,120,211,29,7629.0,0.0,22080.0,102.0,211023704.0,110.0,,
Hg,80,132,212,52,7763.0,1.0,2757.0,298.0,212002960.0,320.0,4308.0,359.0
Tl,81,131,212,50,7780.0,1.0,-1551.0,200.0,211998335.0,215.0,5998.0,200.0
Pb,82,130,212,48,7804.319,0.009,-7548.85,1.842,211991895.975,1.977,569.104,1.825
Bi,83,129,212,46,7803.313,0.009,-8117.954,1.854,211991285.016,1.989,2251.533,1.667
Po,84,128,212,44,7810.243,0.005,-10369.487,1.152,211988867.896,1.236,-1741.266,2.107
At,85,127,212,42,7798.34,0.011,-8628.221,2.384,211990737.223,2.559,31.387,3.605
Rn,86,126,212,40,7794.797,0.015,-8659.608,3.145,211990703.528,3.376,-5143.64,9.318
Fr,87,125,212,38,7766.845,0.041,-3515.968,8.775,211996225.453,9.42,-3317.0,14.276
Ra,88,124,212,36,7747.508,0.053,-198.968,11.263,211999786.399,12.091,-7476.266,52.601
Ac,89,123,212,34,7708.552,0.242,7277.298,51.381,212007812.501,55.16,-4833.51,52.366
Th,90,122,212,32,7682.062,0.048,12110.808,10.109,212013001.487,10.852,-9482.551,75.541
Pa,91,121,212,30,7633.643,0.353,21593.358,74.862,212023181.425,80.367,,
Hg,80,133,213,53,7741.0,1.0,7666.0,298.0,213008230.0,320.0,5882.0,299.0
Tl,81,132,213,51,7765.43,0.127,1783.811,27.013,213001915.0,29.0,4987.343,27.894
Pb,82,131,213,49,7785.172,0.033,-3203.532,6.954,212996560.867,7.465,2028.103,8.371
Bi,83,130,213,47,7791.021,0.024,-5231.635,5.082,212994383.608,5.456,1421.949,5.49
Po,84,129,213,45,7794.024,0.014,-6653.584,3.053,212992857.083,3.277,-73.989,5.465
At,85,128,213,43,7790.003,0.023,-6579.595,4.898,212992936.514,5.257,-883.569,5.724
Rn,86,127,213,41,7782.182,0.016,-5696.026,3.37,212993885.064,3.617,-2143.179,6.006
Fr,87,126,213,39,7768.447,0.024,-3552.848,5.091,212996185.861,5.465,-3898.405,11.057
Ra,88,125,213,37,7746.472,0.046,345.557,9.818,213000370.97,10.54,-5809.134,18.156
Ac,89,124,213,35,7715.526,0.072,6154.692,15.272,213006607.333,16.395,-5965.394,17.834
Th,90,123,213,33,7683.846,0.043,12120.086,9.217,213013011.447,9.895,-7542.539,71.737
Pa,91,122,213,31,7644.762,0.334,19662.625,71.142,213021108.697,76.374,,
Hg,80,134,214,54,7727.0,2.0,11178.0,401.0,214012000.0,430.0,4713.0,446.0
Tl,81,133,214,52,7745.0,1.0,6465.0,196.0,214006940.0,210.0,6647.0,196.0
Pb,82,132,214,50,7772.394,0.009,-182.769,1.975,213999803.788,2.12,1017.984,11.256
Bi,83,131,214,48,7773.495,0.052,-1200.753,11.209,213998710.938,12.033,3269.293,11.165
Po,84,130,214,46,7785.116,0.007,-4470.046,1.449,213995201.208,1.555,-1090.215,4.107
At,85,129,214,44,7776.366,0.02,-3379.831,4.298,213996371.601,4.614,939.911,10.014
Rn,86,128,214,42,7777.102,0.043,-4319.742,9.187,213995362.566,9.862,-3361.035,12.503
Fr,87,127,214,40,7757.74,0.04,-958.707,8.634,213998970.785,9.268,-1051.441,10.086
Ra,88,126,214,38,7749.171,0.025,92.734,5.25,214000099.554,5.636,-6351.12,16.232
Ac,89,125,214,36,7715.837,0.072,6443.854,15.36,214006917.762,16.489,-4251.03,18.693
Th,90,124,214,34,7692.317,0.05,10694.885,10.661,214011481.431,11.445,-8790.63,76.867
Pa,91,123,214,32,7647.583,0.356,19485.515,76.125,214020918.561,81.723,,
Hg,80,135,215,55,7705.0,2.0,16208.0,401.0,215017400.0,430.0,6297.0,499.0
Tl,81,134,215,53,7730.0,1.0,9911.0,298.0,215010640.0,320.0,5569.0,303.0
Pb,82,133,215,51,7752.737,0.244,4342.244,52.448,215004661.59,56.304,2712.922,52.748
Bi,83,132,215,49,7761.717,0.026,1629.322,5.624,215001749.149,6.037,2171.028,5.53
Po,84,131,215,47,7768.176,0.01,-541.706,2.121,214999418.454,2.276,714.049,6.819
At,85,130,215,45,7767.858,0.032,-1255.756,6.799,214998651.89,7.299,-87.195,10.168
Rn,86,129,215,43,7763.814,0.036,-1168.561,7.672,214998745.498,8.236,-1486.625,10.306
Fr,87,128,215,41,7753.26,0.033,318.065,7.066,215000341.456,7.585,-2215.674,10.077
Ra,88,127,215,39,7739.316,0.035,2533.739,7.613,215002720.08,8.172,-3496.877,14.551
Ac,89,126,215,37,7719.413,0.058,6030.615,12.406,215006474.132,13.318,-4890.971,15.234
Th,90,125,215,35,7693.025,0.041,10921.586,8.84,215011724.805,9.49,-6942.353,73.38
Pa,91,124,215,33,7657.096,0.339,17863.939,72.845,215019177.728,78.202,-7059.147,114.616
U,92,123,215,31,7620.624,0.412,24923.087,88.49,215026756.035,94.997,,
Hg,80,136,216,56,7690.0,2.0,19859.0,401.0,216021320.0,430.0,5142.0,499.0
Tl,81,135,216,54,7710.0,1.0,14718.0,298.0,216015800.0,320.0,7238.0,357.0
Pb,82,134,216,52,7740.0,1.0,7480.0,196.0,216008030.0,210.0,1606.0,196.0
Bi,83,133,216,50,7743.499,0.052,5873.991,11.178,216006305.989,12.0,4091.571,11.324
Po,84,132,216,48,7758.819,0.008,1782.42,1.816,216001913.506,1.949,-474.246,3.571
At,85,131,216,46,7753.002,0.017,2256.666,3.575,216002422.631,3.837,2003.799,6.836
Rn,86,130,216,44,7758.657,0.028,252.868,5.994,216000271.464,6.435,-2718.082,7.126
Fr,87,129,216,42,7742.451,0.019,2970.95,4.173,216003189.445,4.48,-320.128,9.548
Ra,88,128,216,40,7737.347,0.04,3291.077,8.737,216003533.117,9.379,-4853.317,13.921
Ac,89,127,216,38,7711.256,0.05,8144.395,10.84,216008743.367,11.637,-2153.937,16.201
Th,90,126,216,36,7697.662,0.056,10298.332,12.042,216011055.714,12.928,-7500.882,54.864
Pa,91,125,216,34,7659.314,0.248,17799.214,53.526,216019108.242,57.462,-5267.137,60.45
U,92,124,216,32,7631.307,0.13,23066.351,28.093,216024762.747,30.158,,
Tl,81,136,217,55,7695.0,2.0,18313.0,401.0,217019660.0,430.0,6073.0,499.0
Pb,82,135,217,53,7719.0,1.0,12240.0,298.0,217013140.0,320.0,3510.0,299.0
Bi,83,134,217,51,7731.848,0.082,8729.962,17.698,217009372.0,19.0,2846.444,18.87
Po,84,133,217,49,7741.36,0.03,5883.518,6.544,217006316.216,7.025,1488.883,7.979
At,85,132,217,47,7744.616,0.023,4394.635,5.001,217004717.835,5.369,736.135,6.151
Rn,86,131,217,45,7744.403,0.019,3658.501,4.198,217003927.562,4.506,-656.089,7.538
Fr,87,130,217,43,7737.775,0.03,4314.59,6.531,217004631.902,7.01,-1575.067,9.588
Ra,88,129,217,41,7726.911,0.033,5889.656,7.202,217006322.806,7.731,-2814.017,13.43
Ac,89,128,217,39,7710.338,0.052,8703.673,11.389,217009343.777,12.226,-3502.107,15.566
Th,90,127,217,37,7690.594,0.049,12205.78,10.614,217013103.444,11.394,-4862.63,19.132
Pa,91,126,217,35,7664.58,0.073,17068.41,15.918,217018323.692,17.089,-5905.0,73.0
U,92,125,217,33,7634.0,0.0,22973.0,71.0,217024663.0,77.0,,
Tl,81,137,218,56,7674.0,2.0,23180.0,400.0,218024885.0,429.0,7727.0,499.0
Pb,82,136,218,54,7706.0,1.0,15453.0,298.0,218016590.0,320.0,2237.0,299.0
Bi,83,135,218,52,7712.827,0.124,13216.037,27.013,218014188.0,29.0,4859.136,27.085
Po,84,134,218,50,7731.528,0.009,8356.901,1.973,218008971.502,2.118,258.738,11.649
At,85,133,218,48,7729.126,0.053,8098.162,11.604,218008693.735,12.456,2880.816,11.705
Rn,86,132,218,46,7738.752,0.011,5217.347,2.316,218005601.052,2.486,-1841.77,4.942
Fr,87,131,218,44,7726.715,0.022,7059.117,4.757,218007578.274,5.106,407.947,12.039
Ra,88,130,218,42,7724.998,0.051,6651.17,11.176,218007140.325,11.997,-4192.439,51.931
Ac,89,129,218,40,7702.177,0.233,10843.609,50.74,218011641.093,54.471,-1523.132,51.815
Th,90,128,218,38,7691.602,0.048,12366.741,10.516,218013276.242,11.289,-6317.029,21.13
Pa,91,127,218,36,7659.036,0.084,18683.77,18.329,218020057.853,19.676,-3210.838,22.888
U,92,126,218,34,7640.719,0.063,21894.608,13.714,218023504.829,14.722,,
Pb,82,137,219,55,7686.0,2.0,20279.0,401.0,219021770.0,430.0,3996.0,446.0
Bi,83,136,219,53,7700.0,1.0,16283.0,196.0,219017480.0,210.0,3601.0,196.0
Po,84,135,219,51,7713.333,0.072,12681.359,15.835,219013614.0,17.0,2285.283,16.163
At,85,134,219,49,7720.196,0.015,10396.076,3.237,219011160.647,3.474,1566.675,2.947
Rn,86,133,219,47,7723.777,0.01,8829.402,2.1,219009478.753,2.254,211.635,7.058
Fr,87,132,219,45,7721.171,0.032,8617.767,7.039,219009251.553,7.556,-776.515,10.772
Ra,88,131,219,43,7714.053,0.038,9394.282,8.258,219010085.176,8.865,-2175.199,51.142
Ac,89,130,219,41,7700.549,0.231,11569.48,50.497,219012420.348,54.21,-2901.91,71.425
Th,90,129,219,39,7683.725,0.231,14471.39,50.576,219015535.677,54.295,-4068.741,72.192
Pa,91,128,219,37,7661.574,0.235,18540.131,51.516,219019903.65,55.304,-4746.439,72.333
U,92,127,219,35,7636.329,0.232,23286.569,50.775,219024999.161,54.509,-6170.086,101.905
Np,93,126,219,33,7604.583,0.403,29456.655,88.354,219031623.021,94.851,,
Pb,82,138,220,56,7672.0,2.0,23669.0,401.0,220025410.0,430.0,2850.0,499.0
Bi,83,137,220,54,7682.0,1.0,20819.0,298.0,220022350.0,320.0,5555.0,299.0
Po,84,136,220,52,7703.224,0.08,15263.461,17.698,220016386.0,19.0,887.714,22.549
At,85,135,220,50,7703.703,0.064,14375.747,13.972,220015433.0,15.0,3763.67,14.09
Rn,86,134,220,48,7717.254,0.008,10612.077,1.815,220011392.534,1.948,-870.242,4.026
Fr,87,133,220,46,7709.742,0.018,11482.32,4.028,220012326.778,4.324,1212.075,9.061
Ra,88,132,220,44,7711.696,0.037,10270.245,8.237,220011025.562,8.843,-3473.437,10.141
Ac,89,131,220,42,7692.351,0.028,13743.682,6.129,220014754.45,6.579,-925.417,22.941
Th,90,130,220,40,7684.589,0.101,14669.1,22.166,220015747.926,23.795,-5549.0,56.0
Pa,91,129,220,38,7656.0,0.0,20218.0,51.0,220021705.0,55.0,-2715.0,113.0
U,92,128,220,36,7640.0,0.0,22933.0,101.0,220024620.0,108.0,-7378.0,220.0
Np,93,127,220,34,7603.0,1.0,30311.0,196.0,220032540.0,210.0,,
Bi,83,138,221,55,7668.0,1.0,24098.0,298.0,221025870.0,320.0,4324.0,299.0
Po,84,137,221,53,7684.481,0.089,19773.755,19.561,221021228.0,21.0,2991.027,24.039
At,85,136,221,51,7694.475,0.063,16782.727,13.972,221018017.0,15.0,2311.308,15.096
Rn,86,135,221,49,7701.393,0.026,14471.42,5.714,221015535.709,6.134,1194.13,7.231
Fr,87,134,221,47,7703.256,0.022,13277.29,4.886,221014253.757,5.245,313.479,6.386
Ra,88,133,221,45,7701.135,0.021,12963.811,4.63,221013917.224,4.97,-1559.298,50.603
Ac,89,132,221,43,7690.539,0.228,14523.109,50.425,221015591.199,54.133,-2417.261,51.056
Th,90,131,221,41,7676.061,0.037,16940.371,8.166,221018186.236,8.766,-3435.918,51.915
Pa,91,130,221,39,7656.974,0.232,20376.288,51.281,221021874.846,55.052,-4143.707,72.404
U,92,129,221,37,7634.684,0.231,24519.995,51.114,221026323.299,54.873,-5330.0,207.0
Np,93,128,221,35,7607.0,1.0,29850.0,200.0,221032045.0,215.0,,
Bi,83,139,222,56,7649.0,1.0,28729.0,300.0,222030842.0,322.0,6243.0,303.0
Po,84,138,222,54,7674.005,0.18,22486.265,40.054,222024140.0,43.0,1533.239,43.071
At,85,137,222,52,7677.387,0.071,20953.026,15.835,222022494.0,17.0,4580.82,15.955
Rn,86,136,222,50,7694.497,0.009,16372.206,1.95,222017576.286,2.093,-5.9,7.703
Fr,87,135,222,48,7690.947,0.034,16378.105,7.452,222017582.62,8.0,2057.917,8.682
Ra,88,134,222,46,7696.692,0.02,14320.188,4.454,222015373.355,4.781,-2301.285,6.637
Ac,89,133,222,44,7682.802,0.023,16621.474,5.174,222017843.887,5.554,-581.637,13.228
Th,90,132,222,42,7676.658,0.055,17203.111,12.279,222018468.3,13.182,-4951.0,74.0
Pa,91,131,222,40,7651.0,0.0,22155.0,72.0,222023784.0,78.0,-2118.0,89.0
U,92,130,222,38,7637.764,0.234,24272.827,51.994,222026057.953,55.817,-6746.0,202.0
Np,93,129,222,36,7604.0,1.0,31019.0,196.0,222033300.0,210.0,,
Bi,83,140,223,57,7636.0,2.0,32137.0,401.0,223034500.0,430.0,5058.0,446.0
Po,84,139,223,55,7655.0,1.0,27079.0,196.0,223029070.0,210.0,3651.0,196.0
At,85,138,223,53,7668.055,0.063,23428.006,13.972,223025151.0,15.0,3038.267,16.013
Rn,86,137,223,51,7678.171,0.035,20389.739,7.822,223021889.285,8.397,2007.344,8.057
Fr,87,136,223,49,7683.664,0.009,18382.394,1.932,223019734.313,2.073,1149.085,0.848
Ra,88,135,223,47,7685.309,0.009,17233.309,2.09,223018500.719,2.244,-592.573,7.128
Ac,89,134,223,45,7679.143,0.032,17825.882,7.11,223019136.872,7.632,-1559.948,11.563
Th,90,133,223,43,7668.64,0.041,19385.831,9.212,223020811.546,9.889,-2934.845,71.639
Pa,91,132,223,41,7651.971,0.319,22320.676,71.063,223023962.232,76.289,-3516.33,100.506
U,92,131,223,39,7632.694,0.319,25837.006,71.119,223027737.168,76.349,-4763.0,208.0
Np,93,130,223,37,7608.0,1.0,30600.0,196.0,223032850.0,210.0,,
Bi,83,141,224,58,7617.0,2.0,36830.0,400.0,224039539.0,429.0,6920.0,445.0
Po,84,140,224,56,7644.0,1.0,29910.0,196.0,224032110.0,210.0,2199.0,197.0
At,85,139,224,54,7650.735,0.1,27711.015,22.356,224029749.0,24.0,5265.917,24.415
Rn,86,138,224,52,7670.751,0.044,22445.098,9.814,224024095.804,10.536,696.482,14.875
Fr,87,137,224,50,7670.367,0.05,21748.616,11.178,224023348.1,12.0,2922.699,11.324
Ra,88,136,224,48,7679.922,0.008,18825.917,1.813,224020210.453,1.945,-1408.219,4.087
Ac,89,135,224,46,7670.143,0.018,20234.135,4.089,224021722.239,4.389,240.401,10.823
Th,90,134,224,44,7667.724,0.045,19993.734,10.12,224021464.157,10.864,-3868.544,12.546
Pa,91,133,224,42,7646.961,0.034,23862.278,7.587,224025617.21,8.145,-1859.974,24.329
U,92,132,224,40,7635.165,0.103,25722.252,23.171,224027613.974,24.875,-6153.0,197.0
Np,93,131,224,38,7604.0,1.0,31876.0,196.0,224034220.0,210.0,,
Po,84,141,225,57,7626.0,1.0,34530.0,298.0,225037070.0,320.0,4136.0,422.0
At,85,140,225,55,7641.0,1.0,30395.0,298.0,225032630.0,320.0,3861.0,298.0
Rn,86,139,225,53,7654.357,0.05,26534.141,11.14,225028485.574,11.958,2713.531,16.349
Fr,87,138,225,51,7662.94,0.053,23820.61,11.967,225025572.478,12.847,1827.501,12.158
Ra,88,137,225,49,7667.586,0.012,21993.109,2.596,225023610.574,2.787,355.763,5.007
Ac,89,136,225,47,7665.69,0.021,21637.346,4.758,225023228.647,5.107,-672.781,6.658
Th,90,135,225,45,7659.222,0.023,22310.127,5.093,225023950.907,5.467,-2030.598,71.17
Pa,91,134,225,43,7646.72,0.316,24340.725,71.012,225026130.844,76.234,-3039.196,71.827
U,92,133,225,41,7629.736,0.048,27379.921,10.909,225029393.555,11.711,-4207.783,72.44
Np,93,132,225,39,7607.557,0.318,31587.704,71.622,225033910.797,76.889,,
Po,84,142,226,58,7614.0,2.0,37549.0,401.0,226040310.0,430.0,2934.0,499.0
At,85,141,226,56,7624.0,1.0,34614.0,298.0,226037160.0,320.0,5867.0,298.0
Rn,86,140,226,54,7646.41,0.046,28747.192,10.477,226030861.382,11.247,1226.653,12.19
Fr,87,139,226,52,7648.376,0.028,27520.539,6.23,226029544.515,6.688,3852.715,6.523
Ra,88,138,226,50,7661.962,0.009,23667.824,1.933,226025408.455,2.075,-641.44,3.274
Ac,89,137,226,48,7655.662,0.014,24309.264,3.1,226026097.069,3.328,1111.63,4.563
Th,90,136,226,46,7657.119,0.02,23197.634,4.481,226024903.686,4.81,-2835.642,12.165
Pa,91,135,226,44,7641.11,0.051,26033.276,11.42,226027947.872,12.259,-1295.593,17.228
U,92,134,226,42,7631.916,0.058,27328.869,12.999,226029338.749,13.955,-5448.0,89.0
Np,93,133,226,40,7604.0,0.0,32777.0,88.0,226035188.0,95.0,,
Po,84,143,227,59,7596.0,2.0,42281.0,401.0,227045390.0,430.0,4797.0,499.0
At,85,142,227,57,7613.0,1.0,37483.0,298.0,227040240.0,320.0,4597.0,298.0
Rn,86,141,227,55,7630.05,0.062,32885.834,14.091,227035304.396,15.127,3203.388,15.276
Fr,87,140,227,53,7640.715,0.026,29682.445,5.898,227031865.417,6.332,2504.734,6.213
Ra,88,139,227,51,7648.303,0.009,27177.711,1.952,227029176.474,2.095,1328.132,2.265
Ac,89,138,227,49,7650.707,0.008,25849.58,1.927,227027750.666,2.068,44.757,0.83
Th,90,137,227,47,7647.458,0.009,25804.823,2.088,227027702.618,2.241,-1026.375,7.437
Pa,91,136,227,45,7639.49,0.033,26831.198,7.42,227028804.477,7.965,-2214.264,12.146
U,92,135,227,43,7626.289,0.043,29045.462,9.705,227031181.587,10.419,-3516.618,73.135
Np,93,134,227,41,7607.351,0.319,32562.08,72.506,227034956.832,77.838,-4208.0,123.0
Pu,94,133,227,39,7585.0,0.0,36770.0,100.0,227039474.0,107.0,,
At,85,143,228,58,7597.0,2.0,41684.0,401.0,228044750.0,430.0,6441.0,401.0
Rn,86,142,228,56,7621.645,0.078,35243.465,17.677,228037835.418,18.977,1859.244,18.916
Fr,87,141,228,54,7626.368,0.03,33384.221,6.732,228035839.437,7.226,4443.953,7.021
Ra,88,140,228,52,7642.428,0.009,28940.268,1.996,228031068.657,2.142,45.54,0.634
Ac,89,139,228,50,7639.196,0.009,28894.728,2.094,228031019.767,2.247,2123.743,2.645
