Element_Symbol,Z,A,N,N-Z,BE_A,BE_A_err,MassExcess,MassExcessErr,AtomicMass,AtomicMassErr,BetaDecayE,BetaDecayE_err
Mo,42,62,104,20,8527.965,0.086,-80349.968,8.921,103913740.756,9.576,2153.476,24.167
Tc,43,61,104,18,8541.149,0.239,-82503.444,24.888,103911428.905,26.718,5592.266,24.939
Ru,44,60,104,16,8587.399,0.024,-88095.71,2.498,103905425.36,2.681,-1136.362,3.364
Rh,45,59,104,14,8568.949,0.022,-86959.348,2.303,103906645.295,2.472,2435.758,2.66
Pd,46,58,104,12,8584.848,0.013,-89395.105,1.336,103904030.401,1.434,-4278.654,4.0
Ag,47,57,104,10,8536.184,0.041,-85116.452,4.217,103908623.725,4.527,-1148.072,4.537
Cd,48,56,104,8,8517.622,0.016,-83968.38,1.673,103909856.23,1.795,-7785.716,6.013
In,49,55,104,6,8435.237,0.056,-76182.665,5.775,103918214.54,6.2,-4555.617,8.146
Sn,50,54,104,4,8383.911,0.055,-71627.047,5.745,103923105.197,6.167,-12453.427,122.579
Sb,51,53,104,2,8256.644,1.177,-59173.62,122.444,103936474.502,131.449,,
Sr,38,67,105,29,8156.0,5.0,-38610.0,503.0,104958550.0,540.0,12660.0,1428.0
Y,39,66,105,27,8269.02,12.73,-51270.361,1336.694,104944959.0,1435.0,10194.373,1336.749
Zr,40,65,105,25,8358.659,0.115,-61464.734,12.118,104934014.89,13.008,8450.817,12.77
Nb,41,64,105,23,8431.692,0.038,-69915.551,4.028,104924942.564,4.324,7421.59,9.92
Mo,42,63,105,21,8494.923,0.086,-77337.141,9.065,104916975.159,9.731,4952.947,35.031
Tc,43,62,105,19,8534.643,0.336,-82290.088,35.264,104911657.952,37.857,3644.402,35.28
Ru,44,61,105,17,8561.9,0.024,-85934.49,2.499,104907745.525,2.682,1916.752,2.851
Rh,45,60,105,15,8572.704,0.024,-87851.243,2.502,104905687.806,2.685,566.646,2.346
Pd,46,59,105,13,8570.65,0.011,-88417.888,1.138,104905079.487,1.222,-1347.052,4.67
Ag,47,58,105,11,8550.37,0.043,-87070.836,4.544,104906525.607,4.877,-2736.997,4.362
Cd,48,57,105,9,8516.852,0.013,-84333.839,1.392,104909463.895,1.494,-4693.267,10.341
In,49,56,105,7,8464.704,0.098,-79640.572,10.246,104914502.324,11.0,-6302.58,10.989
Sn,50,55,105,5,8397.228,0.038,-73337.992,3.971,104921268.423,4.263,-9322.51,22.185
Sb,51,54,105,3,8300.992,0.208,-64015.482,21.827,104931276.549,23.431,-11203.972,300.813
Te,52,53,105,1,8186.836,2.857,-52811.51,300.02,104943304.508,322.084,,
Sr,38,68,106,30,8119.0,6.0,-34790.0,600.0,105962651.0,644.0,11263.0,783.0
Y,39,67,106,28,8218.0,5.0,-46053.0,503.0,105950560.0,540.0,12497.0,664.0
Zr,40,66,106,26,8328.45,4.086,-58549.987,433.145,105937144.0,465.0,7653.37,433.164
Nb,41,65,106,24,8393.271,0.039,-66203.357,4.122,105928927.768,4.424,9931.17,10.026
Mo,42,64,106,22,8479.581,0.086,-76134.528,9.14,105918266.218,9.812,3641.695,15.284
Tc,43,63,106,20,8506.556,0.116,-79776.223,12.25,105914356.697,13.15,6547.0,11.0
Ru,44,62,106,18,8560.94,0.051,-86323.223,5.391,105907328.203,5.787,39.404,0.212
Rh,45,61,106,16,8553.931,0.051,-86362.627,5.39,105907285.901,5.785,3544.901,5.335
Pd,46,60,106,14,8579.992,0.01,-89907.527,1.106,105903480.293,1.186,-2965.145,2.817
Ag,47,59,106,12,8544.639,0.028,-86942.383,3.016,105906663.507,3.237,189.755,2.819
Cd,48,58,106,10,8539.048,0.01,-87132.138,1.104,105906459.797,1.184,-6524.004,12.176
In,49,57,106,8,8470.12,0.115,-80608.134,12.226,105913463.603,13.125,-3254.447,13.244
Sn,50,56,106,6,8432.038,0.048,-77353.687,5.091,105916957.396,5.465,-10880.396,9.025
Sb,51,55,106,4,8322.012,0.07,-66473.292,7.452,105928637.982,8.0,-8253.544,100.816
Te,52,54,106,2,8236.767,0.948,-58219.748,100.541,105937498.526,107.934,,
Sr,38,69,107,31,8064.0,7.0,-28900.0,700.0,106968975.0,751.0,13465.0,862.0
Y,39,68,107,29,8182.0,5.0,-42364.0,503.0,106954520.0,540.0,12015.0,1230.0
Zr,40,67,107,27,8287.073,10.49,-54379.688,1122.45,106941621.0,1205.0,9344.122,1122.479
Nb,41,66,107,25,8367.089,0.075,-63723.81,8.023,106931589.672,8.612,8827.75,12.232
Mo,42,65,107,23,8442.28,0.086,-72551.56,9.233,106922112.692,9.912,6198.355,12.667
Tc,43,64,107,21,8492.897,0.081,-78749.914,8.673,106915458.485,9.31,5112.598,11.724
Ru,44,63,107,19,8533.366,0.081,-83862.512,8.673,106909969.885,9.31,3001.191,14.847
Rh,45,62,107,17,8554.103,0.113,-86863.703,12.051,106906747.974,12.937,1508.936,12.111
Pd,46,61,107,15,8560.894,0.011,-88372.639,1.201,106905128.064,1.289,34.031,2.318
Ag,47,60,107,13,8553.9,0.022,-88406.67,2.382,106905091.531,2.557,-1416.409,2.567
Cd,48,59,107,11,8533.351,0.016,-86990.261,1.665,106906612.108,1.787,-3426.0,11.0
In,49,58,107,9,8494.021,0.104,-83564.261,11.125,106910290.071,11.943,-5052.033,12.327
Sn,50,57,107,7,8439.494,0.05,-78512.228,5.31,106915713.651,5.7,-7858.989,6.738
Sb,51,56,107,5,8358.734,0.039,-70653.239,4.148,106924150.624,4.452,-10113.913,70.952
Te,52,55,107,3,8256.899,0.662,-60539.326,70.83,106935008.356,76.039,-11110.0,308.0
I,53,54,107,1,8146.0,3.0,-49430.0,300.0,106946935.0,322.0,,
Y,39,69,108,30,8134.0,6.0,-37297.0,596.0,107959960.0,640.0,14056.0,718.0
Zr,40,68,108,28,8257.0,4.0,-51353.0,401.0,107944870.0,430.0,8193.0,401.0
Nb,41,67,108,26,8325.665,0.076,-59545.765,8.237,107936074.988,8.842,11210.177,12.373
Mo,42,66,108,24,8422.219,0.085,-70755.942,9.233,107924040.367,9.912,5166.835,12.734
Tc,43,65,108,22,8462.816,0.081,-75922.778,8.769,107918493.541,9.413,7738.573,11.79
Ru,44,64,108,20,8527.225,0.08,-83661.35,8.68,107910185.841,9.318,1370.37,16.469
Rh,45,63,108,18,8532.67,0.13,-85031.721,13.996,107908714.688,15.024,4492.486,14.039
Pd,46,62,108,16,8567.023,0.01,-89524.206,1.108,107903891.805,1.189,-1917.444,2.633
Ag,47,61,108,14,8542.025,0.022,-87606.763,2.388,107905950.266,2.563,1645.651,2.639
Cd,48,60,108,12,8550.019,0.01,-89252.414,1.123,107904183.587,1.205,-5132.595,8.584
In,49,59,108,10,8495.251,0.08,-84119.819,8.641,107909693.655,9.276,-2049.881,9.836
Sn,50,58,108,8,8469.027,0.05,-82069.938,5.382,107911894.292,5.778,-9624.607,7.692
Sb,51,57,108,6,8372.666,0.051,-72445.331,5.496,107922226.734,5.9,-6663.664,7.712
Te,52,56,108,4,8303.721,0.05,-65781.667,5.411,107929380.471,5.808,-13132.062,132.37
I,53,55,108,2,8174.884,1.225,-52649.605,132.26,107943478.321,141.986,,
Y,39,70,109,31,8096.0,6.0,-33200.0,700.0,108964358.0,751.0,12992.0,862.0
Zr,40,69,109,29,8208.0,5.0,-46193.0,503.0,108950410.0,540.0,10497.0,566.0
Nb,41,68,109,27,8297.13,2.371,-56689.794,258.49,108939141.0,277.5,9976.202,258.732
